CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V98141,170,0.01,0.043,4.55,0.7859999999999999,0.07,0.038,309,43,1395.0,7,4,0.012
V98140,156,0.01,0.046,4.54,0.695,0.068,0.039,323,46,1386.0,9,4,0.013000000000000001
V98139,162,0.01,0.048,4.57,0.604,0.067,0.039,338,48,1415.0,9,5,0.013000000000000001
V98138,167,0.01,0.045,4.57,0.659,0.067,0.039,322,45,1399.0,9,4,0.011000000000000001
V98136,160,0.01,0.040999999999999995,4.56,0.505,0.055999999999999994,0.042,337,47,1426.0,9,5,0.01
V98135,169,0.01,0.055,4.55,0.58,0.055999999999999994,0.042,341,48,1405.0,9,4,0.013999999999999999
V98133,156,0.01,0.044000000000000004,4.54,0.588,0.064,0.040999999999999995,315,45,1423.0,8,4,0.012
V98132,163,0.01,0.051,4.56,0.8,0.07400000000000001,0.039,343,48,1456.0,8,4,0.012
V98131,162,0.01,0.05,4.56,0.799,0.068,0.040999999999999995,338,48,1410.0,9,5,0.018000000000000002
V98130,174,0.01,0.051,4.56,0.5589999999999999,0.06,0.040999999999999995,344,48,1378.0,8,4,0.013999999999999999
V98129,159,0.01,0.045,4.53,0.792,0.077,0.040999999999999995,328,48,1390.0,9,5,0.006
V98128,160,0.01,0.038,4.57,0.726,0.078,0.040999999999999995,298,43,1338.0,8,4,0.008
V98126,165,0.01,0.043,4.55,0.628,0.068,0.042,328,46,1362.0,9,5,0.012
V98125,173,0.01,0.057,4.56,0.42,0.046,0.039,440,62,1317.0,12,5,0.01
V98124,164,0.01,0.057999999999999996,4.52,0.36700000000000005,0.042,0.039,378,54,1334.0,9,5,0.013000000000000001
V98123,162,0.01,0.046,4.56,0.662,0.064,0.038,339,48,1421.0,9,5,0.01
V98122,161,0.01,0.05,4.56,0.551,0.061,0.038,360,50,1356.0,9,5,0.013999999999999999
V98121,164,0.01,0.046,4.55,0.48700000000000004,0.06,0.04,360,51,1420.0,8,4,0.01
V98120,163,0.01,0.046,4.55,0.455,0.061,0.040999999999999995,342,48,1367.0,9,5,0.013000000000000001
V98119,161,0.008,0.040999999999999995,4.54,0.66,0.065,0.040999999999999995,334,47,1391.0,8,4,0.009000000000000001
V98117,164,0.008,0.03,4.56,0.66,0.081,0.044000000000000004,326,45,1403.0,9,4,0.006
V98114,163,0.008,0.037000000000000005,4.55,0.9470000000000001,0.087,0.042,329,46,1347.0,9,4,0.003
V98113,170,0.008,0.036000000000000004,4.55,0.902,0.095,0.043,326,46,1367.0,8,4,0.002
V98112,163,0.008,0.036000000000000004,4.55,1.08,0.10800000000000001,0.045,303,43,1477.0,8,4,0.005
V98111,167,0.008,0.037000000000000005,4.53,1.02,0.099,0.043,322,43,1444.0,9,4,0.006
V98110,168,0.008,0.042,4.57,0.58,0.068,0.042,347,50,1434.0,9,4,0.016
V98109,167,0.008,0.046,4.62,0.6940000000000001,0.07400000000000001,0.044000000000000004,342,48,1411.0,9,4,0.005
V98108,170,0.008,0.039,4.6,0.7829999999999999,0.079,0.042,339,49,1386.0,9,0,0.005
V98106,168,0.008,0.032,4.56,1.12,0.105,0.043,287,41,1426.0,8,4,0.005
V98105,166,0.008,0.042,4.56,0.736,0.076,0.042,354,52,1438.0,9,4,0.006999999999999999
V98104,168,0.008,0.04,4.59,0.664,0.075,0.043,324,46,1428.0,9,5,0.006
V98102,166,0.008,0.037000000000000005,4.54,0.768,0.078,0.043,307,44,1419.0,8,4,0.006
V98101,180,0.008,0.044000000000000004,4.6,0.79,0.086,0.042,367,60,1391.0,10,6,0.004
V98100,161,0.008,0.043,4.58,0.605,0.068,0.043,469,51,1395.0,11,4,0.006
V98099,160,0.008,0.042,4.52,0.5589999999999999,0.069,0.043,344,50,1414.0,9,5,0.006
V98097,171,0.008,0.044000000000000004,4.45,0.7809999999999999,0.081,0.040999999999999995,367,51,1410.0,9,4,0.006
V98096,165,0.008,0.047,4.55,0.743,0.076,0.040999999999999995,352,49,1379.0,9,5,0.009000000000000001
V98095,166,0.008,0.040999999999999995,4.55,0.633,0.078,0.043,349,48,1441.0,10,4,0.003
V98094,167,0.008,0.045,4.57,0.7659999999999999,0.086,0.044000000000000004,360,52,1382.0,9,5,0.004
V98093,180,0.008,0.035,4.65,0.87,0.08800000000000001,0.042,344,49,1400.0,9,4,0.004
V98092,154,0.008,0.037000000000000005,4.63,0.69,0.075,0.043,310,43,1395.0,8,4,0.006
V98091,158,0.008,0.047,4.56,0.56,0.054000000000000006,0.040999999999999995,361,52,1406.0,9,5,0.011000000000000001
V98090,158,0.008,0.055,4.52,0.42,0.048,0.039,380,53,1429.0,10,5,0.013000000000000001
V98089,162,0.008,0.057,4.45,0.48,0.057,0.039,403,56,1398.0,11,6,0.011000000000000001
V98088,173,0.008,0.053,4.56,0.62,0.07200000000000001,0.038,371,52,1402.0,10,5,0.01
V98087,167,0.008,0.055999999999999994,4.46,0.56,0.053,0.038,369,51,1410.0,9,4,0.013000000000000001
V98085,151,0.008,0.039,4.58,0.73,0.081,0.040999999999999995,336,46,1342.0,9,4,0.005
V98083,178,0.008,0.040999999999999995,4.58,0.51,0.065,0.043,370,53,1372.0,10,5,0.005
V98082,163,0.008,0.039,4.59,0.66,0.067,0.042,317,47,1401.0,8,4,0.006999999999999999
V98081,165,0.008,0.038,4.59,0.69,0.07400000000000001,0.040999999999999995,311,45,1412.0,8,4,0.006
V98080,151,0.008,0.036000000000000004,4.65,0.703,0.077,0.044000000000000004,307,42,1388.3496882179193,8,4,0.006999999999999999
V98079,178,0.008,0.037000000000000005,4.54,0.777,0.083,0.044000000000000004,307,55,1412.0,8,4,0.006
V98078,170,0.008,0.028999999999999998,4.55,0.8740000000000001,0.092,0.043,280,39,1417.0,7,3,0.006999999999999999
V98076,153,0.008,0.032,4.57,0.7140000000000001,0.081,0.043,287,43,1425.0,7,4,0.005
V98075,162,0.008,0.03,4.57,1.023,0.106,0.046,264,40,1356.0,6,3,0.004
V98074,166,0.008,0.035,4.55,0.657,0.081,0.043,300,46,1388.3496882179193,8,4,0.005
V98073,167,0.008,0.035,4.56,0.713,0.079,0.042,297,43,1378.0,8,4,0.008
V98071,165,0.008,0.04,4.53,0.498,0.061,0.040999999999999995,323,45,1426.0,9,4,0.009000000000000001
V98069,165,0.008,0.040999999999999995,4.58,0.374,0.05,0.039,328,47,1402.0,9,4,0.009000000000000001
V98068,163,0.008,0.042,4.54,0.48100000000000004,0.064,0.042,334,48,1399.0,9,5,0.009000000000000001
V98067,156,0.008,0.043,4.57,0.506,0.066,0.043,339,48,1376.0,7,4,0.009000000000000001
V98066,162,0.008,0.032,4.56,0.67,0.08199999999999999,0.043,289,41,1315.0,8,4,0.003
V98064,171,0.008,0.028999999999999998,4.55,0.9009999999999999,0.091,0.043,313,44,1420.0,7,4,0.005
V98062,169,0.008,0.034,4.52,0.616,0.07400000000000001,0.044000000000000004,313,45,1397.0,8,4,0.008
V98061,167,0.008,0.03,4.56,0.774,0.08800000000000001,0.044000000000000004,354,49,1397.0,8,4,0.004
V98059,161,0.008,0.035,4.55,0.6779999999999999,0.07400000000000001,0.042,351,49,1398.0,9,5,0.006999999999999999
V98058,175,0.008,0.047,4.56,0.653,0.067,0.04,416,47,1408.0,9,2,0.013000000000000001
V98057,167,0.008,0.043,4.53,0.6709999999999999,0.07,0.043,360,54,1426.0,9,5,0.005
V98056,168,0.008,0.039,4.54,0.601,0.069,0.042,340,48,1418.0,8,5,0.008
V98055,164,0.008,0.035,4.56,0.7190000000000001,0.087,0.044000000000000004,485,91,1379.0,11,3,0.003
V98053,166,0.008,0.04,4.56,0.9,0.077,0.042,338,48,1423.0,9,5,0.006
V98052,170,0.008,0.044000000000000004,4.56,0.552,0.069,0.043,342,48,1417.0,9,4,0.008
V98051,164,0.008,0.043,4.56,0.43,0.045,0.040999999999999995,363,51,1380.0,9,5,0.012
V98050,164,0.008,0.046,4.55,0.47600000000000003,0.057,0.040999999999999995,360,52,1398.0,9,5,0.008
V98049,164,0.008,0.035,4.55,0.5670000000000001,0.071,0.042,304,44,1388.3496882179193,8,4,0.006999999999999999
V98047,172,0.008,0.049,4.55,0.48,0.057,0.040999999999999995,361,52,1407.0,10,5,0.008
V98046,164,0.008,0.049,4.52,0.324,0.046,0.04,371,53,1357.0,9,5,0.012
V98044,160,0.008,0.036000000000000004,4.54,0.5489999999999999,0.071,0.04,302,43,1392.0,8,4,0.006
V98043,167,0.008,0.04,4.56,0.584,0.069,0.040999999999999995,349,49,1395.0,9,5,0.005
V98042,168,0.008,0.052000000000000005,4.55,0.518,0.052000000000000005,0.040999999999999995,383,53,1411.0,9,5,0.01
V98039,169,0.012,0.042,4.56,0.501,0.065,0.040999999999999995,275,39,1348.0,6,3,0.015
V98037,168,0.005,0.03,4.54,0.6829999999999999,0.08,0.045,305,44,1364.0,8,4,0.005
V98035,166,0.005,0.04,4.55,0.552,0.066,0.043,464,66,1427.0,11,6,0.003
V98034,163,0.005,0.040999999999999995,4.6,0.485,0.06,0.040999999999999995,344,49,1451.0,11,4,0.006
V98031,163,0.005,0.036000000000000004,4.58,0.6729999999999999,0.079,0.045,326,50,1416.0,8,5,0.004
V98030,175,0.005,0.040999999999999995,4.56,0.757,0.083,0.044000000000000004,344,50,1411.0,9,4,0.005
V98028,165,0.005,0.034,4.59,0.8320000000000001,0.08900000000000001,0.044000000000000004,326,50,1410.0,8,5,0.004
V98027,174,0.005,0.033,4.58,0.8320000000000001,0.08900000000000001,0.042,311,44,1420.0,8,4,0.005
V98026,160,0.005,0.026000000000000002,4.63,1.01,0.10400000000000001,0.044000000000000004,297,56,1419.0,8,5,0.004
V98025,172,0.005,0.033,4.59,0.9690000000000001,0.098,0.043,310,44,1425.0,8,4,0.004
V98024,166,0.005,0.03,4.6,0.87,0.09300000000000001,0.044000000000000004,305,47,1415.0,8,4,0.004
V98021,163,0.005,0.03,4.57,0.66,0.077,0.045,304,47,1387.0,8,4,0.005
V98019,178,0.005,0.027000000000000003,4.56,0.855,0.096,0.047,367,46,1400.0,10,4,0.003
V98018,166,0.005,0.027999999999999997,4.6,0.9590000000000001,0.10099999999999999,0.045,297,42,1418.0,7,3,0.004
V98017,165,0.005,0.031,4.62,0.7140000000000001,0.083,0.047,320,43,1403.0,8,4,0.003
V98015,169,0.005,0.028999999999999998,4.6,0.895,0.094,0.044000000000000004,298,46,1412.0,8,4,0.004
V98014,162,0.005,0.024,4.64,1.0,0.1,0.045,307,44,1496.0,8,4,0.005
V98013,164,0.005,0.025,4.63,0.8220000000000001,0.08900000000000001,0.045,271,40,1393.0,7,4,0.003
V98012,168,0.005,0.027999999999999997,4.6,0.835,0.091,0.045,296,43,1412.0,8,4,0.004
V98011,168,0.005,0.031,4.53,0.76,0.087,0.046,336,43,1401.0,8,4,0.003
V98010,165,0.005,0.03,4.68,0.73,0.085,0.045,297,43,1400.0,8,4,0.005
V98009,172,0.005,0.027000000000000003,4.68,0.69,0.08,0.045,289,40,1359.0,7,3,0.005
V98007,164,0.005,0.027000000000000003,4.55,0.672,0.08,0.044000000000000004,281,40,1420.0,7,4,0.005
V98006,175,0.005,0.036000000000000004,4.54,0.467,0.063,0.040999999999999995,322,46,1341.0,8,4,0.005
V98005,161,0.005,0.036000000000000004,4.55,0.457,0.063,0.040999999999999995,329,46,1346.0,8,4,0.004
V98004,161,0.005,0.044000000000000004,4.56,0.43200000000000005,0.046,0.04,363,51,1368.0,10,5,0.006999999999999999
V98002,165,0.005,0.051,4.51,0.47100000000000003,0.049,0.04,401,57,1361.0,10,5,0.006999999999999999
V98001,155,0.005,0.04,4.55,0.49200000000000005,0.064,0.043,344,48,1413.0,9,4,0.006999999999999999
V97997,165,0.005,0.04,4.54,0.525,0.066,0.040999999999999995,345,49,1355.0,9,4,0.006
V97996,162,0.005,0.038,4.57,0.547,0.07,0.040999999999999995,338,47,1352.0,8,4,0.004
V97994,161,0.005,0.040999999999999995,4.55,0.591,0.064,0.042,355,51,1433.0,9,5,0.006
V97993,156,0.005,0.039,4.56,0.58,0.066,0.042,344,48,1418.0,9,4,0.006999999999999999
V97991,163,0.005,0.036000000000000004,4.69,0.69,0.075,0.043,331,46,1400.0,8,4,0.006
V97990,165,0.005,0.04,4.6,0.66,0.07400000000000001,0.043,345,49,1410.0,9,5,0.006
V97989,172,0.005,0.045,4.55,0.43,0.053,0.038,370,52,1376.0,9,4,0.009000000000000001
V97988,165,0.005,0.048,4.52,0.43,0.053,0.038,397,56,1354.0,10,5,0.006999999999999999
V97987,175,0.005,0.048,4.57,0.53,0.061,0.039,382,55,1344.0,10,5,0.006
V97986,168,0.005,0.038,4.62,0.66,0.068,0.039,372,53,1365.0,9,5,0.005
V97984,162,0.005,0.038,4.57,0.48700000000000004,0.067,0.040999999999999995,344,50,1394.0,9,4,0.005
V97982,177,0.005,0.034,4.57,0.75,0.085,0.04,323,46,1429.0,8,4,0.004
V97980,172,0.005,0.054000000000000006,4.53,0.305,0.037000000000000005,0.037000000000000005,407,57,1332.0,10,5,0.013000000000000001
V97979,160,0.005,0.038,4.56,0.8,0.087,0.042,341,47,1324.0,9,4,0.006999999999999999
V97978,171,0.005,0.04,4.56,0.588,0.07200000000000001,0.039,344,49,1375.0,10,4,0.005
V97977,172,0.005,0.039,4.56,0.518,0.063,0.037000000000000005,333,46,1389.0,8,4,0.01
V97976,175,0.005,0.042,4.59,0.48700000000000004,0.064,0.038,357,50,1332.0,9,4,0.006999999999999999
V97973,169,0.005,0.037000000000000005,4.56,0.376,0.046,0.037000000000000005,336,46,1365.0,8,4,0.012
V97972,171,0.005,0.051,4.55,0.303,0.04,0.036000000000000004,396,58,1377.0,11,5,0.008
V97971,162,0.005,0.057999999999999996,4.55,0.313,0.036000000000000004,0.036000000000000004,433,61,1410.0,11,5,0.01
V97969,179,0.005,0.042,4.57,0.47700000000000004,0.053,0.037000000000000005,353,50,1393.0,10,4,0.009000000000000001
V97968,159,0.005,0.061,4.56,0.525,0.049,0.04,446,63,1375.0,11,5,0.005
V97967,162,0.005,0.03,4.56,0.892,0.087,0.042,303,46,1422.0,8,4,0.006
V97966,165,0.005,0.037000000000000005,4.55,0.6629999999999999,0.075,0.044000000000000004,430,46,1379.0,9,4,0.009000000000000001
V97965,176,0.005,0.043,4.61,0.525,0.063,0.040999999999999995,349,48,1313.0,8,4,0.012
V97964,172,0.005,0.047,4.62,0.607,0.071,0.04,383,54,1357.0,10,5,0.005
V97962,166,0.005,0.036000000000000004,4.6,0.8490000000000001,0.087,0.043,323,47,1399.0,9,4,0.004
V97963,162,0.005,0.035,4.59,0.614,0.07400000000000001,0.040999999999999995,346,48,1427.0,8,4,0.005
V97960,158,0.005,0.035,4.56,0.902,0.08900000000000001,0.045,326,57,1337.0,8,5,0.004
V97959,177,0.005,0.037000000000000005,4.6,0.6709999999999999,0.077,0.042,346,48,1385.0,8,4,0.004
V97958,164,0.005,0.04,4.55,0.5489999999999999,0.07,0.042,343,58,1379.0,10,5,0.005
V97957,163,0.005,0.045,4.54,0.597,0.068,0.042,381,61,1415.0,10,5,0.006
V97955,166,0.005,0.057999999999999996,4.55,0.42200000000000004,0.046,0.038,466,114,1364.0,12,10,0.006
V97954,160,0.005,0.053,4.48,0.46,0.034,0.042,405,58,1363.0,12,5,0.01
V97952,165,0.005,0.045,4.55,0.5820000000000001,0.066,0.043,372,60,1418.0,10,6,0.005
V97951,177,0.005,0.052000000000000005,4.5,0.82,0.062,0.042,418,67,1376.0,11,6,0.005
V97950,161,0.005,0.045,4.55,0.447,0.057,0.040999999999999995,368,55,1387.0,10,5,0.006999999999999999
V97949,161,0.005,0.048,4.57,0.589,0.063,0.042,384,66,1390.0,10,6,0.004
V97948,160,0.005,0.044000000000000004,4.52,0.6509999999999999,0.066,0.044000000000000004,373,61,1410.0,10,6,0.005
V97947,158,0.005,0.045,4.6,0.6409999999999999,0.064,0.042,663,69,1399.0,15,2,0.009000000000000001
V97946,154,0.005,0.048,4.55,0.544,0.063,0.042,381,54,1378.0,11,5,0.008
V97945,158,0.005,0.04,4.54,0.657,0.073,0.044000000000000004,356,56,1378.0,9,5,0.004
V97943,160,0.005,0.043,4.56,0.586,0.064,0.044000000000000004,353,51,1430.0,9,4,0.009000000000000001
V97942,177,0.005,0.042,4.59,0.5710000000000001,0.062,0.044000000000000004,357,50,1445.0,9,4,0.008
V97941,155,0.005,0.035,4.56,0.621,0.069,0.040999999999999995,397,43,1388.0,10,6,0.004
V97940,165,0.005,0.032,4.71,0.89,0.091,0.042,305,46,1400.0,8,4,0.005
V97939,155,0.005,0.035,4.67,0.79,0.08199999999999999,0.043,325,46,1423.0,8,4,0.008
V97938,161,0.005,0.04,4.6,0.72,0.071,0.043,351,49,1408.0,9,5,0.006
V97936,153,0.005,0.045,4.57,0.48,0.06,0.040999999999999995,371,52,1388.3496882179193,9,4,0.01
V97935,167,0.005,0.059000000000000004,4.52,0.479,0.05,0.042,457,62,1360.0,12,6,0.006999999999999999
V97934,158,0.005,0.042,4.52,0.49,0.052000000000000005,0.042,354,51,1359.0,10,5,0.01
V97933,157,0.005,0.036000000000000004,4.55,0.5760000000000001,0.062,0.043,371,62,1376.0,10,3,0.009000000000000001
V97932,174,0.005,0.031,4.56,0.524,0.065,0.043,308,42,1393.0,8,4,0.008
V97931,167,0.005,0.04,4.58,0.6559999999999999,0.068,0.043,344,49,1406.0,9,4,0.006999999999999999
V97930,153,0.005,0.034,4.54,0.67,0.07400000000000001,0.043,326,46,1391.0,8,4,0.006
V97928,155,0.005,0.042,4.55,0.561,0.062,0.043,362,52,1291.0,10,5,0.003
V97927,153,0.005,0.032,4.54,0.815,0.086,0.045,306,43,1388.3496882179193,8,3,0.004
V97925,159,0.005,0.044000000000000004,4.56,0.66,0.073,0.042,362,51,1361.0,10,5,0.005
V97923,156,0.005,0.05,4.5,0.636,0.059000000000000004,0.042,399,57,1367.0,10,5,0.009000000000000001
V97922,167,0.005,0.05,4.55,0.5920000000000001,0.055,0.042,388,56,1374.0,11,6,0.011000000000000001
V97921,180,0.005,0.046,4.5,0.589,0.055,0.042,384,52,1393.0,10,4,0.01
V97920,174,0.005,0.045,4.52,0.5,0.055999999999999994,0.042,428,53,1405.0,12,5,0.009000000000000001
V97917,166,0.005,0.043,4.55,0.8809999999999999,0.066,0.043,357,51,1399.0,10,5,0.008
V97916,153,0.005,0.039,4.57,0.589,0.066,0.043,339,47,1398.0,9,5,0.01
V97915,178,0.005,0.040999999999999995,4.59,0.603,0.059000000000000004,0.042,349,49,1382.0,9,4,0.008
V97914,177,0.005,0.052000000000000005,4.56,0.484,0.055999999999999994,0.043,403,57,1378.0,10,5,0.01
V97913,164,0.005,0.049,4.57,0.48100000000000004,0.055,0.04,380,54,1383.0,11,5,0.008
V97912,153,0.005,0.051,4.57,0.451,0.055,0.040999999999999995,394,56,1371.0,10,5,0.009000000000000001
V97911,152,0.005,0.032,4.57,0.789,0.081,0.045,346,43,1385.0,9,4,0.006
V97910,168,0.005,0.036000000000000004,4.56,0.741,0.078,0.043,320,45,1381.0,8,4,0.005
V97909,157,0.005,0.055,4.52,0.664,0.066,0.043,414,60,1357.0,12,5,0.004
V97908,159,0.005,0.047,4.54,0.63,0.066,0.044000000000000004,365,53,1378.0,9,5,0.006999999999999999
V97907,161,0.005,0.04,4.56,0.536,0.06,0.044000000000000004,344,48,1388.3496882179193,9,4,0.006
V97906,162,0.005,0.04,4.55,0.603,0.062,0.044000000000000004,341,48,1388.3496882179193,10,4,0.005
V97905,163,0.005,0.045,4.55,0.579,0.06,0.044000000000000004,333,48,1441.0,9,5,0.01
V97904,164,0.005,0.04,4.55,0.56,0.065,0.043,310,43,1380.0,8,4,0.01
V97901,153,0.005,0.039,4.56,0.442,0.055,0.040999999999999995,435,52,1345.0,11,5,0.003
V97900,164,0.005,0.048,4.52,0.4,0.044000000000000004,0.039,376,66,1343.0,9,6,0.022000000000000002
V97899,180,0.005,0.055,4.4,0.4,0.048,0.04,415,59,1345.0,11,5,0.02
V97898,159,0.005,0.054000000000000006,4.57,0.44,0.053,0.040999999999999995,421,78,1361.0,11,7,0.005
V97897,175,0.005,0.052000000000000005,4.55,0.44,0.051,0.040999999999999995,412,65,1362.0,11,6,0.009000000000000001
V97896,175,0.005,0.039,4.62,0.561,0.063,0.043,373,61,1403.0,10,6,0.005
V97895,157,0.005,0.03,4.6,0.691,0.077,0.048,297,42,1364.0,8,4,0.008
V97894,159,0.005,0.026000000000000002,4.62,0.625,0.08,0.047,296,47,1376.0,7,4,0.003
V97893,176,0.005,0.039,4.6,0.53,0.067,0.045,367,58,1407.0,9,5,0.004
V97892,174,0.005,0.035,4.55,0.5379999999999999,0.068,0.046,336,52,1435.0,8,5,0.006
V97891,157,0.003,0.033,4.56,0.611,0.07200000000000001,0.047,339,47,1432.0,9,4,0.005
V97890,163,0.005,0.032,4.64,0.735,0.081,0.046,312,49,1361.0,8,4,0.004
V97888,162,0.003,0.048,4.56,0.51,0.066,0.043,411,59,1359.0,11,6,0.004
V97887,163,0.005,0.05,4.53,0.43,0.059000000000000004,0.045,401,72,1379.0,10,7,0.006
V97886,175,0.005,0.042,4.61,0.49,0.062,0.048,353,56,1406.0,9,5,0.006
V97885,163,0.003,0.036000000000000004,4.632,0.5,0.067,0.044000000000000004,354,51,1413.0,10,5,0.005
V97882,161,0.003,0.03,4.52,0.643,0.079,0.047,349,51,1338.0,9,5,0.004
V97881,167,0.003,0.027999999999999997,4.5,0.6509999999999999,0.078,0.049,335,49,1391.0,8,5,0.004
V97880,161,0.003,0.033,4.56,0.855,0.084,0.045,341,48,1389.0,9,4,0.003
V97879,175,0.003,0.04,4.56,1.0490000000000002,0.091,0.045,374,53,1405.0,10,5,0.004
V97877,173,0.003,0.034,4.55,0.627,0.071,0.044000000000000004,421,66,1423.0,11,6,0.003
V97876,162,0.003,0.033,4.56,0.669,0.08,0.048,337,49,1406.0,9,5,0.003
V97875,160,0.003,0.032,4.53,0.722,0.08,0.047,344,48,1409.0,8,4,0.006
V97874,170,0.003,0.043,4.56,0.802,0.078,0.043,422,60,1345.0,11,5,0.004
V97873,162,0.003,0.043,4.57,0.74,0.075,0.043,387,55,1356.0,11,5,0.006
V97872,162,0.003,0.040999999999999995,4.59,0.56,0.067,0.044000000000000004,380,56,1364.0,9,5,0.009000000000000001
V97871,164,0.003,0.035,4.62,0.41,0.059000000000000004,0.046,412,49,1389.0,11,4,0.005
V97870,166,0.005,0.032,4.63,0.45,0.057999999999999996,0.044000000000000004,344,49,1384.0,10,5,0.005
V97869,162,0.005,0.034,4.61,0.44,0.061,0.045,326,44,1424.0,8,4,0.006999999999999999
V97867,162,0.005,0.027000000000000003,4.73,0.58,0.077,0.047,328,46,1379.0,9,4,0.005
V97866,152,0.005,0.039,4.63,0.69,0.076,0.045,346,47,1391.0,8,5,0.005
V97865,160,0.005,0.052000000000000005,4.53,0.71,0.07200000000000001,0.043,402,57,1399.0,11,5,0.006999999999999999
V97864,170,0.005,0.042,4.72,0.74,0.076,0.045,361,51,1411.0,8,5,0.006999999999999999
V97863,155,0.005,0.032,4.71,0.64,0.076,0.046,305,44,1431.0,9,4,0.009000000000000001
V97862,160,0.005,0.039,4.62,0.74,0.075,0.044000000000000004,370,52,1322.0,10,4,0.005
V97861,162,0.005,0.038,4.57,0.4,0.059000000000000004,0.043,332,49,1388.3496882179193,10,5,0.008
V97860,171,0.005,0.040999999999999995,4.58,0.7020000000000001,0.077,0.046,352,50,1361.0,8,5,0.005
V97859,170,0.005,0.038,4.56,0.7859999999999999,0.079,0.045,331,46,1378.0,8,4,0.005
V97858,173,0.005,0.026000000000000002,4.49,0.6659999999999999,0.069,0.046,277,40,1335.0,8,4,0.005
V97857,179,0.005,0.028999999999999998,4.52,0.539,0.068,0.046,355,49,1346.0,8,5,0.005
V97856,175,0.005,0.038,4.59,0.456,0.055,0.043,329,46,1380.0,8,4,0.008
V97855,165,0.005,0.04,4.57,0.499,0.055999999999999994,0.044000000000000004,343,48,1400.0,10,5,0.008
V97854,162,0.005,0.04,4.57,0.8109999999999999,0.083,0.046,352,50,1394.0,8,5,0.006
V97853,168,0.005,0.039,4.55,0.732,0.075,0.045,331,46,1388.0,9,4,0.006
V97851,169,0.005,0.038,4.66,0.4,0.055,0.044000000000000004,342,49,1344.0,8,5,0.009000000000000001
V97850,164,0.005,0.034,4.63,0.536,0.07,0.042,315,43,1387.0,8,4,0.004
V97849,166,0.005,0.035,4.57,0.46299999999999997,0.065,0.045,328,45,1386.0,9,5,0.006
V97848,170,0.005,0.043,4.56,0.392,0.054000000000000006,0.043,353,49,1387.0,8,5,0.009000000000000001
V97847,160,0.005,0.039,4.53,0.332,0.051,0.044000000000000004,341,53,1415.0,9,4,0.009000000000000001
V97846,164,0.005,0.043,4.59,0.647,0.071,0.044000000000000004,357,50,1407.0,10,5,0.006999999999999999
V97845,162,0.005,0.04,4.65,0.782,0.08199999999999999,0.045,397,57,1343.0,9,6,0.003
V97844,167,0.005,0.035,4.58,0.489,0.068,0.044000000000000004,320,45,1333.0,8,4,0.005
V97843,157,0.005,0.036000000000000004,4.57,0.473,0.066,0.043,325,47,1334.0,9,5,0.004
V97841,168,0.005,0.047,4.56,0.5720000000000001,0.069,0.042,368,53,1391.0,10,4,0.011000000000000001
V97840,163,0.005,0.047,4.56,0.693,0.07400000000000001,0.044000000000000004,377,53,1386.0,10,6,0.005
V97839,166,0.005,0.034,4.64,0.563,0.071,0.043,318,45,1388.3496882179193,7,4,0.006
V97837,161,0.005,0.032,4.57,0.61,0.07,0.044000000000000004,305,43,1434.0,8,5,0.006
V97836,160,0.005,0.035,4.62,0.63,0.07200000000000001,0.045,329,45,1397.0,8,4,0.006
V97834,160,0.005,0.039,4.55,0.5429999999999999,0.066,0.043,318,59,1381.0,9,5,0.005
V97833,167,0.005,0.042,4.55,0.47200000000000003,0.063,0.040999999999999995,352,57,1375.0,10,6,0.005
V97832,165,0.005,0.044000000000000004,4.5,0.377,0.055,0.042,387,65,1425.0,10,6,0.006
V97831,165,0.005,0.040999999999999995,4.6,0.35,0.051,0.043,326,59,1363.0,8,5,0.006
V97830,179,0.005,0.055,4.51,0.47,0.063,0.043,414,68,1396.0,12,6,0.006999999999999999
V97829,158,0.005,0.057999999999999996,4.48,0.773,0.067,0.043,410,72,1406.0,11,7,0.006
V97828,164,0.005,0.05,4.55,0.42100000000000004,0.057999999999999996,0.043,392,61,1308.0,11,6,0.004
V97827,177,0.005,0.04,4.53,0.486,0.059000000000000004,0.042,346,54,1311.0,9,5,0.004
V97825,172,0.005,0.05,4.55,0.882,0.064,0.040999999999999995,421,67,1364.0,11,6,0.005
V97826,178,0.005,0.045,4.63,0.674,0.07200000000000001,0.042,382,58,1325.0,11,6,0.005
V97824,170,0.005,0.051,4.5,0.536,0.051,0.038,397,61,1345.0,10,5,0.011000000000000001
V97823,166,0.005,0.053,4.44,0.544,0.044000000000000004,0.039,406,65,1347.0,12,6,0.005
V97822,166,0.005,0.046,4.55,0.40700000000000003,0.046,0.039,379,59,1359.0,10,5,0.012
V97820,167,0.005,0.052000000000000005,4.49,0.337,0.045,0.037000000000000005,422,66,1366.0,11,6,0.006
V97819,165,0.005,0.055,4.49,0.33,0.04,0.039,414,66,1370.0,12,7,0.006999999999999999
V97818,160,0.005,0.045,4.55,0.738,0.081,0.043,369,53,1403.0,9,5,0.006
V97817,162,0.005,0.044000000000000004,4.58,0.682,0.077,0.045,367,52,1405.0,11,5,0.005
V97816,165,0.005,0.042,4.54,0.435,0.062,0.042,369,51,1332.0,9,5,0.004
